iter	MultiQuantile:alpha=0.05,0.6,0.98
0	4.986861437
1	4.864279487
2	4.746071444
3	4.632839514
4	4.518140898
5	4.408111462
6	4.303648675
7	4.20449371
8	4.105695352
9	4.010452026
10	3.917108637
11	3.826469199
12	3.738916434
13	3.658957589
14	3.57911647
15	3.499880962
16	3.425106821
17	3.353566524
18	3.281704382
19	3.213410485
20	3.145949535
21	3.081268129
22	3.02000169
23	2.957729248
24	2.896578805
25	2.83905375
26	2.782722722
27	2.730623442
28	2.681108816
29	2.633426504
30	2.58629044
31	2.540052798
32	2.495347662
33	2.45343986
34	2.411857037
35	2.371928059
36	2.332902925
37	2.296110833
38	2.260640275
39	2.225905747
40	2.19237594
41	2.160072289
42	2.129381779
43	2.099616021
44	2.070609276
45	2.042854507
46	2.016264607
47	1.990896527
48	1.966389878
49	1.942886862
50	1.920102463
51	1.898606994
52	1.877379892
53	1.857051332
54	1.837588097
55	1.819383273
56	1.801173239
57	1.784590095
58	1.768081911
59	1.752469279
60	1.737347851
61	1.722652386
62	1.708233748
63	1.694980816
64	1.682054663
65	1.66984077
66	1.657875457
67	1.64628704
68	1.635436997
69	1.624918968
70	1.614709094
71	1.60498629
72	1.59559438
73	1.586680773
74	1.578363337
75	1.570475718
76	1.562586657
77	1.554826822
78	1.54766996
79	1.54046506
80	1.533593909
81	1.527041041
82	1.521164705
83	1.515071499
84	1.509314619
85	1.503910911
86	1.498807078
87	1.493649173
88	1.48881945
89	1.484053796
90	1.479511565
91	1.475339207
92	1.471383606
93	1.467528188
94	1.463637283
95	1.459916262
96	1.456242105
97	1.452944634
98	1.449966456
99	1.447002221
100	1.443954637
101	1.441124681
102	1.438326106
103	1.43584946
104	1.433392859
105	1.431049781
106	1.428789418
107	1.426506502
108	1.424492033
109	1.422430761
110	1.420491503
111	1.418550259
112	1.416734769
113	1.414978815
114	1.413302632
115	1.411739678
116	1.410177073
117	1.408734826
118	1.407272795
119	1.405964164
120	1.404543031
121	1.403222714
122	1.401965514
123	1.400750436
124	1.39965178
125	1.39856639
126	1.397492902
127	1.396523083
128	1.395522102
129	1.394514115
130	1.393470762
131	1.392579785
132	1.391791872
133	1.39094101
134	1.390170538
135	1.389427095
136	1.38872301
137	1.3879799
138	1.387243013
139	1.386433369
140	1.385675243
141	1.385024662
142	1.384391664
143	1.383843516
144	1.383257574
145	1.382691248
146	1.382134715
147	1.38165519
148	1.381073534
149	1.380500541
150	1.380120817
151	1.379473238
152	1.378963587
153	1.378439131
154	1.377950863
155	1.377401096
156	1.37697411
157	1.376458551
158	1.375967382
159	1.375498258
160	1.375098233
161	1.374598375
162	1.374278217
163	1.373847659
164	1.373417577
165	1.373028362
166	1.372664678
167	1.372287249
168	1.371870959
169	1.371499384
170	1.371157093
171	1.370748751
172	1.370328288
173	1.369862031
174	1.369560362
175	1.369206094
176	1.368824306
177	1.368433615
178	1.368176428
179	1.367907395
180	1.367590292
181	1.367155759
182	1.366906131
183	1.366660829
184	1.366433971
185	1.366214948
186	1.365897652
187	1.365677926
188	1.365414407
189	1.365148256
190	1.364879384
191	1.364663401
192	1.364368788
193	1.363987184
194	1.363796824
195	1.3634963
196	1.36332535
197	1.363099722
198	1.362877155
199	1.362688309
200	1.362448185
201	1.362168566
202	1.362000236
203	1.361690995
204	1.361448516
205	1.36117263
206	1.36096601
207	1.360794147
208	1.360574144
209	1.36039182
210	1.360141627
211	1.360015311
212	1.359763625
213	1.359494605
214	1.359269809
215	1.359133848
216	1.358910678
217	1.358676026
218	1.358480932
219	1.358298823
220	1.3581507
221	1.357933285
222	1.357673555
223	1.357487576
224	1.35733319
225	1.357208024
226	1.357052177
227	1.356902464
228	1.356643899
229	1.356383839
230	1.356229942
231	1.355967125
232	1.355835833
233	1.355707471
234	1.355589806
235	1.355478364
236	1.355376572
237	1.355208016
238	1.355079686
239	1.354970418
240	1.354749397
241	1.354615261
242	1.354407238
243	1.354168736
244	1.354009699
245	1.353894474
246	1.353752702
247	1.353574277
248	1.353476223
249	1.353273853
250	1.353158759
251	1.352995074
252	1.352907868
253	1.352811804
254	1.352732084
255	1.352632763
256	1.352571985
257	1.352350901
258	1.35219434
259	1.35211126
260	1.351959455
261	1.351864297
262	1.351681388
263	1.351616623
264	1.351487173
265	1.351333836
266	1.351241197
267	1.351117561
268	1.350946474
269	1.350832451
270	1.350761154
271	1.350600268
272	1.350429511
273	1.350373144
274	1.35030132
275	1.350173724
276	1.350027908
277	1.349941539
278	1.349828966
279	1.349749459
280	1.349648812
281	1.349480156
282	1.349417134
283	1.349341326
284	1.349222036
285	1.349061093
286	1.348895542
287	1.348757044
288	1.348639701
289	1.34845384
290	1.348339388
291	1.348207704
292	1.348095245
293	1.347957578
294	1.347801051
295	1.347702926
296	1.347633244
297	1.347534811
298	1.347433809
299	1.347303606
300	1.347199651
301	1.347112876
302	1.347023275
303	1.34691192
304	1.346773099
305	1.346637899
306	1.34652074
307	1.346464901
308	1.346364707
309	1.346203611
310	1.346068731
311	1.345950193
312	1.345807122
313	1.345693727
314	1.34558446
315	1.345511933
316	1.345417687
317	1.345347873
318	1.345220763
319	1.345113199
320	1.345024729
321	1.344968905
322	1.344920483
323	1.344834922
324	1.344778387
325	1.344670958
326	1.344611615
327	1.344503917
328	1.344453688
329	1.344343485
330	1.344209075
331	1.344162163
332	1.344052697
333	1.343910693
334	1.343813739
335	1.343765473
336	1.343714486
337	1.343651604
338	1.34360796
339	1.34350878
340	1.343473534
341	1.3434108
342	1.34330694
343	1.343230163
344	1.343158166
345	1.343082801
346	1.343021767
347	1.342905852
348	1.34276703
349	1.342722149
350	1.342645668
351	1.342546104
352	1.342459019
353	1.342345328
354	1.342285803
355	1.342182601
356	1.342137219
357	1.342044224
358	1.341938745
359	1.34184095
360	1.341795185
361	1.341707841
362	1.341612217
363	1.341523163
364	1.341412437
365	1.341331419
366	1.341266145
367	1.341192708
368	1.341128808
369	1.341060102
370	1.340982075
371	1.340924495
372	1.340856777
373	1.340827199
374	1.34077412
375	1.340692821
376	1.340658448
377	1.340563528
378	1.340505546
379	1.340454439
380	1.340379998
381	1.340307235
382	1.340226263
383	1.340155289
384	1.340073574
385	1.340027759
386	1.339928233
387	1.339868833
388	1.339806909
389	1.339742014
390	1.339701687
391	1.339638046
392	1.339581674
393	1.339470648
394	1.339414277
395	1.339354251
396	1.339283508
397	1.339227032
