iter	Passed	Remaining
0	67	66989
1	129	64625
2	197	65609
3	266	66470
4	337	67253
5	402	66619
6	468	66419
7	536	66484
8	604	66524
9	676	66973
10	740	66565
11	805	66299
12	871	66164
13	934	65826
14	1006	66085
15	1070	65848
16	1146	66294
17	1228	67038
18	1335	68968
19	1402	68704
20	1470	68537
21	1536	68298
22	1603	68105
23	1673	68059
24	1740	67887
25	1808	67740
26	1874	67561
27	1936	67225
28	2004	67104
29	2072	67019
30	2142	66985
31	2211	66889
32	2279	66787
33	2346	66655
34	2410	66470
35	2477	66343
36	2542	66174
37	2610	66091
38	2673	65875
39	2738	65722
40	2800	65513
41	2868	65440
42	2931	65242
43	2996	65115
44	3061	64973
45	3126	64835
46	3193	64746
47	3257	64601
48	3322	64474
49	3382	64260
50	3444	64090
51	3506	63926
52	3566	63728
53	3630	63594
54	3691	63422
55	3753	63271
56	3814	63108
57	3875	62949
58	3936	62787
59	3999	62664
60	4063	62556
61	4134	62545
62	4194	62390
63	4261	62320
64	4324	62212
65	4387	62089
66	4449	61964
67	4509	61800
68	4572	61691
69	4634	61578
70	4697	61466
71	4759	61345
72	4821	61222
73	4883	61114
74	4947	61022
75	5011	60923
76	5072	60803
77	5132	60667
78	5195	60568
79	5257	60456
80	5316	60321
81	5373	60162
82	5437	60073
83	5498	59955
84	5559	59845
85	5620	59737
86	5683	59642
87	5740	59491
88	5799	59362
89	5860	59257
90	5916	59097
91	5974	58970
92	6034	58849
93	6094	58742
94	6154	58631
95	6215	58533
96	6276	58432
97	6335	58311
98	6398	58231
99	6461	58155
100	6519	58027
101	6584	57966
102	6642	57844
103	6699	57719
104	6758	57611
105	6821	57534
106	6884	57457
107	6944	57354
108	7002	57242
109	7059	57116
110	7121	57033
111	7178	56919
112	7242	56851
113	7306	56786
114	7365	56679
115	7426	56593
116	7482	56468
117	7549	56430
118	7608	56326
119	7667	56226
120	7729	56152
121	7789	56059
122	7851	55978
123	7907	55861
124	7967	55774
125	8030	55701
126	8092	55626
127	8149	55521
128	8207	55416
129	8269	55341
130	8334	55290
131	8398	55228
132	8457	55134
133	8513	55020
134	8572	54926
135	8630	54830
136	8693	54760
137	8753	54679
138	8817	54617
